NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,Based
15174,"SCALLOP,MXD SP,IMITN,MADE FROM SURIMI",73.82,99,12.77,0.41,2.37,10.62,0,,8,0.31,43,282,103,795,0.33,0.032,0.011,23.6,0,0.01,0.016,0.31,0.07,0.03,2,0,2,2,,1.6,66,20,20,,,,,,,,,,0.08,0.06,0.21,22,85,3 oz,,,0,0
15175,"SQUID,MIXED SPECIES,RAW",78.55,92,15.58,1.38,1.41,3.08,0,0,32,0.68,33,221,246,44,1.53,1.891,0.035,44.8,4.7,0.02,0.412,2.175,0.5,0.056,5,0,5,5,65,1.3,33,10,10,0,0,0,0,0,1.2,0,0,0,0.358,0.107,0.524,233,28,"1 oz, boneless",85,3 oz,0,0
15176,"SQUID,MXD SP,CKD,FRIED",64.54,175,17.94,7.48,1.59,7.79,0,,39,1.01,38,251,279,306,1.74,2.114,0.07,51.8,4.2,0.056,0.458,2.602,0.51,0.058,14,9,5,20,,1.23,35,11,11,,,,,,,,,,1.878,2.749,2.136,260,85,3 oz,,,0,0
15177,"WHELK,UNSPECIFIED,RAW",66,137,23.84,0.4,2,7.76,0,0,57,5.03,86,141,347,206,1.63,1.03,0.447,44.8,4,0.026,0.107,1.05,0.208,0.342,6,0,6,6,65,9.07,87,26,26,0,0,0,0,0,0.13,0,0,0.1,0.031,0.028,0.023,65,85,3 oz,,,0,0
15178,"WHELK,UNSPEC,CKD,MOIST HEAT",32,275,47.68,0.8,4,15.52,0,,113,10.06,172,282,694,412,3.26,2.06,0.89,89.6,6.8,0.049,0.214,1.995,0.4,0.65,11,0,11,11,,18.14,162,49,49,,,,,,,,,,0.062,0.056,0.046,130,85,3 oz,,,0,0
15179,"SALMON,CHINOOK,SMOKED,(LOX),REG",72,117,18.28,4.32,2.62,0,0,,11,0.85,18,164,175,2000,0.31,0.23,0.017,38.1,0,0.023,0.101,4.72,0.87,0.278,2,0,2,2,,3.26,88,26,26,,,,,,,,,,0.929,2.023,0.995,23,28,1 oz,85,3 oz,0,0
15180,"SALMON,CHUM,CND,WO/SALT,DRND SOL W/BONE",70.77,141,21.43,5.5,2.47,0,0,,249,0.7,30,354,300,75,1,0.1,0.02,43.3,0,0.02,0.16,7,0.56,0.38,20,0,20,20,,4.4,61,18,18,,,,,,,,,,1.486,1.919,1.517,39,85,3 oz,369,1 can,0,0
15181,"SALMON,PINK,CND,WO/SALT,SOL W/BONE&LIQ",70.03,139,19.78,6.05,1.38,0,0,,213,0.84,34,329,326,75,0.92,0.102,0.02,33.2,0,0.023,0.186,6.536,0.55,0.3,15,0,15,15,,4.4,55,17,17,,,,,,,,,,1.535,1.825,2.049,55,85,3 oz,454,1 can,0,0
15182,"SALMON,SOCKEYE,CND,WO/SALT,DRND SOL W/BONE",68.72,153,20.47,7.31,2.7,0,0,,239,1.06,29,326,377,75,1.02,0.084,0.03,35.4,0,0.016,0.193,5.48,0.55,0.3,10,0,10,10,,0.3,176,53,53,,,,,,,,,,1.644,2.776,2.277,44,85,3 oz,369,1 can,0,0
15183,"TUNA,LT,CND IN OIL,WO/SALT,DRND SOL",59.83,198,29.13,8.21,2.76,0,0,,13,1.39,31,311,207,50,0.9,0.071,0.015,76,0,0.038,0.12,12.4,0.37,0.11,5,0,5,5,,2.2,78,,,,,,,,,,,,1.534,2.949,2.885,18,85,3 oz,171,1 can,0,0
15184,"TUNA,LT,CND IN H2O,WO/SALT,DRND SOL",75.21,116,25.51,0.82,0.78,0,0,0,11,1.53,27,163,237,50,0.77,0.051,0.011,80.4,0,0.032,0.074,13.28,0.214,0.35,4,0,4,4,,2.99,56,,,,,,,,,,,,0.234,0.159,0.337,30,85,3 oz,165,1 can,0,0
15185,"TUNA,WHITE,CND IN OIL,WO/SALT,DRND SOL",64.02,186,26.53,8.08,2.18,0,0,,4,0.65,34,267,333,50,0.47,0.13,0.016,60.1,0,0.017,0.079,11.698,0.37,0.43,5,0,5,5,,2.2,80,,,,,,,,,,,,1.65,2.48,3.38,31,85,3 oz,178,1 can,0,0
15186,"TUNA,WHITE,CND IN H2O,WO/SALT,DRND SOL",74.02,128,23.62,2.97,0.63,0,0,,14,0.97,33,217,237,50,0.48,0.039,0.019,65.7,0,0.008,0.044,5.799,0.124,0.217,2,0,2,2,,1.17,19,6,6,,,,,,,,,,0.792,0.784,1.109,42,85,3 oz,172,1 can,0,0
15187,"BASS,FRESHWATER,MXD SP,CKD,DRY HEAT",68.79,146,24.18,4.73,1.95,0,0,,103,1.91,38,256,456,90,0.83,0.119,1.14,16.2,2.1,0.087,0.09,1.522,0.865,0.138,17,0,17,17,,2.31,115,35,35,,,,,,,,,,1.001,1.835,1.36,87,62,1 fillet,85,3 oz,0,0
15188,"BASS,STRIPED,CKD,DRY HEAT",73.36,124,22.73,2.99,1.33,0,0,,19,1.08,51,254,328,88,0.51,0.04,0.019,46.8,0,0.115,0.037,2.558,0.865,0.346,10,0,10,10,,4.41,104,31,31,,,,,,,,,,0.65,0.846,1.005,103,124,1 fillet,85,3 oz,0,0
15189,"BLUEFISH,COOKED,DRY HEAT",62.64,159,25.69,5.44,1.33,0,0,,9,0.62,42,291,477,77,1.04,0.068,0.027,46.8,0,0.067,0.097,7.247,0.955,0.464,2,0,2,2,,6.22,459,138,138,,,,,,,,,,1.172,2.297,1.358,76,117,1 fillet,85,3 oz,0,0
15190,"BURBOT,COOKED,DRY HEAT",73.41,115,24.76,1.04,1.49,0,0,,64,1.15,41,256,518,124,0.97,0.256,0.897,16.2,0,0.429,0.172,1.973,0.173,0.346,1,0,1,1,,0.92,17,5,5,,,,,,,,,,0.209,0.17,0.381,77,90,1 fillet,85,3 oz,0,0
15191,"BUTTERFISH,CKD,DRY HEAT",66.83,187,22.15,10.28,1.54,0,0,,28,0.64,32,308,481,114,0.99,0.069,0.019,46.8,0,0.146,0.192,5.769,0.865,0.346,17,0,17,17,,1.83,109,33,33,,,,,,,,,,,,,83,25,1 fillet,85,3 oz,0,0
15192,"COD,PACIFIC,CKD,DRY HEAT",80.31,85,18.73,0.5,1.8,0,0,0,10,0.2,24,345,289,372,0.39,0.024,0.015,28,0,0.038,0.055,1.343,0.361,0.136,8,0,8,8,79.7,2.31,7,2,2,0,0,0,0,0,0.67,0.6,24,0,0.105,0.089,0.201,57,90,1 fillet,85,3 oz,0,0
15193,"CUSK,COOKED,DRY HEAT",69.68,112,24.35,0.88,1.6,0,0,,13,1.06,40,262,503,40,0.49,0.023,0.019,46.8,0,0.048,0.162,3.271,0.322,0.447,2,0,2,2,,1.2,69,21,21,,,,,,,,,,,,,53,95,1 fillet,85,3 oz,0,0
15194,"DOLPHINFISH,CKD,DRY HEAT",71.22,109,23.72,0.9,2.69,0,0,,19,1.45,38,183,533,113,0.59,0.053,0.019,46.8,0,0.023,0.085,7.429,0.865,0.462,6,0,6,6,,0.69,208,62,62,,,,,,,,,,0.241,0.155,0.211,94,85,3 oz,159,1 fillet,0,0
15195,"DRUM,FRESHWATER,CKD,DRY HEAT",70.94,153,22.49,6.32,1.38,0,0,,77,1.15,38,231,353,96,0.85,0.297,0.897,16.2,1,0.081,0.207,2.862,0.865,0.346,17,0,17,17,,2.31,196,59,59,,,,,,,,,,1.434,2.807,1.479,82,85,3 oz,154,1 fillet,0,0
15196,"HALIBUT,GREENLAND,CKD,DRY HEAT",61.88,239,18.42,17.74,1.28,0,0,,4,0.85,33,210,344,103,0.51,0.038,0.015,46.8,0,0.073,0.103,1.923,0.288,0.485,1,0,1,1,,0.96,60,18,18,,,,,,,,,,3.102,10.742,1.753,59,85,3 oz,159,.5 fillet,0,0
15197,"HERRING,PACIFIC,CKD,DRY HEAT",63.49,250,21.01,17.79,3.04,0,0,,106,1.44,41,292,542,95,0.68,0.1,0.058,46.8,0,0.073,0.256,2.821,1.154,0.519,6,0,6,6,,9.62,116,35,35,,,,,,,,,,4.174,8.807,3.106,99,144,1 fillet,85,3 oz,0,0
15198,"LING,COOKED,DRY HEAT",73.88,111,24.35,0.82,1.79,0,0,,44,0.83,81,254,486,173,1,0.141,0.038,46.8,0,0.127,0.231,2.801,0.369,0.351,8,0,8,8,,0.65,115,35,35,,,,,,,,,,,,,51,85,3 oz,151,1 fillet,0,0
15199,"LINGCOD,COOKED,DRY HEAT",75.68,109,22.64,1.36,1.55,0,0,,18,0.41,33,258,560,76,0.58,0.035,0.026,46.8,0,0.035,0.139,2.314,0.865,0.346,10,0,10,10,,4.15,58,17,17,,,,,,,,,,0.255,0.447,0.383,67,85,3 oz,151,.5 fillet,0,0
15200,"MACKEREL,KING,CKD,DRY HEAT",69.04,134,26,2.56,1.64,0,0,,40,2.28,41,318,558,203,0.72,0.033,0.006,46.8,1.6,0.115,0.58,10.462,0.968,0.51,9,0,9,9,,18,839,252,252,,,,,,,,,,0.465,0.979,0.589,68,85,3 oz,154,.5 fillet,0,0
15201,"MACKEREL,PACIFIC&JACK,MXD SP,CKD,DRY HEAT",61.73,201,25.73,10.12,2.08,0,0,0,29,1.49,36,160,521,110,0.86,0.119,0.019,46.8,2.1,0.135,0.54,10.667,0.365,0.381,2,0,2,2,83.6,4.23,77,23,23,0,0,0,0,0,1.25,11.4,457,0.1,2.881,3.371,2.488,60,28,"1 oz, boneless",17,"1 cubic inch, boneless",0,0
15202,"MILKFISH,COOKED,DRY HEAT",62.63,190,26.32,8.63,1.46,0,0,,65,0.41,38,208,374,92,1.05,0.044,0.026,16.2,0,0.016,0.069,8.256,0.865,0.488,18,0,18,18,,3.27,109,33,33,,,,,,,,,,,,,67,85,3 oz,,,0,0
15203,"MONKFISH,COOKED,DRY HEAT",78.51,97,18.56,1.95,1.55,0,0,,10,0.41,27,256,513,23,0.53,0.036,0.031,46.8,1,0.029,0.073,2.558,0.173,0.277,8,0,8,8,,1.04,46,14,14,,,,,,,,,,,,,32,85,3 oz,,,0,0
15204,"PIKE,WALLEYE,CKD,DRY HEAT",73.47,119,24.54,1.56,1.54,0,0,,141,1.67,38,269,499,65,0.79,0.228,1.026,16.2,0,0.312,0.195,2.801,0.865,0.138,17,0,17,17,,2.31,81,24,24,,,,,,,,,,0.319,0.377,0.573,110,124,1 fillet,85,3 oz,0,0
15205,"POLLOCK,ATLANTIC,CKD,DRY HEAT",72.03,118,24.92,1.26,1.81,0,0,,77,0.59,86,283,456,110,0.6,0.064,0.019,46.8,0,0.054,0.225,3.983,0.413,0.331,3,0,3,3,,3.68,40,12,12,,,,,,,,,,0.17,0.143,0.622,91,85,3 oz,151,.5 fillet,0,0
15206,"POUT,OCEAN,CKD,DRY HEAT",76.1,102,21.33,1.17,1.45,0,0,,13,0.36,17,256,513,78,1.32,0.041,0.019,46.8,0,0.092,0.073,2.558,0.173,0.277,8,0,8,8,,1.04,46,14,14,,,,,,,,,,0.41,0.422,0.041,67,137,.5 fillet,85,3 oz,0,0
15207,"ROE,MXD SP,CKD,DRY HEAT",58.63,204,28.62,8.23,1.76,1.92,0,,28,0.77,26,515,283,117,1.28,0.128,0.013,51.7,16.4,0.277,0.949,2.192,1.154,0.185,92,0,92,92,,11.54,303,91,91,,,,,,,,,,1.866,2.129,3.404,479,28,1 oz,85,3 oz,0,0
15208,"SABLEFISH,COOKED,DRY HEAT",62.85,250,17.19,19.62,1.35,0,0,,45,1.64,71,215,459,72,0.41,0.028,0.019,46.8,0,0.122,0.115,5.128,0.865,0.346,17,0,17,17,,1.44,338,102,102,,,,,,,,,,4.099,10.328,2.618,63,85,3 oz,151,.5 fillet,0,0
